,O*NET-SOC Code,Title,Description,Description_Abilities,Description_Knowledge,Description_Skills,Description_Tech,Description_Interests,Description_Job
696,45-2011.00,Agricultural Inspectors,"Inspect agricultural commodities, processing equipment, and facilities, and fish and logging operations, to ensure compliance with regulations and laws governing health, quality, and safety.","Abilities:The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem. The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to apply general rules to specific problems to produce answers that make sense.","Knowledge:Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.","Skills:Conducting tests and inspections of products, services, or processes to evaluate quality or performance. Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",Tech:Microsoft Excel Microsoft Office software,"Interests:Secondary-Cutoff/Rank Descriptiveness Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Agricultural Inspectors Inspect agricultural commodities, processing equipment, and facilities, and fish and logging operations, to ensure compliance with regulations and laws governing health, quality, and safety. Abilities:The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem. The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to apply general rules to specific problems to produce answers that make sense. Knowledge:Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process. Skills:Conducting tests and inspections of products, services, or processes to evaluate quality or performance. Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Tech:Microsoft Excel Microsoft Office software Interests:Secondary-Cutoff/Rank Descriptiveness Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources."
697,45-2021.00,Animal Breeders,"Select and breed animals according to their genealogy, characteristics, and offspring. May require knowledge of artificial insemination techniques and equipment use. May involve keeping records on heats, birth intervals, or pedigree.","Abilities:The ability to see details at close range (within a few feet of the observer). The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem. The ability to apply general rules to specific problems to produce answers that make sense.","Knowledge:Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.","Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively.",,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.","Animal Breeders Select and breed animals according to their genealogy, characteristics, and offspring. May require knowledge of artificial insemination techniques and equipment use. May involve keeping records on heats, birth intervals, or pedigree. Abilities:The ability to see details at close range (within a few feet of the observer). The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem. The ability to apply general rules to specific problems to produce answers that make sense. Knowledge:Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively.  Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law."
698,45-2041.00,"Graders and Sorters, Agricultural Products","Grade, sort, or classify unprocessed food and other agricultural products by size, weight, color, or condition.","Abilities:The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects. The ability to see details at close range (within a few feet of the observer). The ability to generate or use different sets of rules for combining or grouping things in different ways.","Knowledge:Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of machines and tools, including their designs, uses, repair, and maintenance.","Skills:Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively.",Tech:Microsoft Access Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint,"Interests:Secondary-Cutoff/Rank Descriptiveness Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Graders and Sorters, Agricultural Products Grade, sort, or classify unprocessed food and other agricultural products by size, weight, color, or condition. Abilities:The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects. The ability to see details at close range (within a few feet of the observer). The ability to generate or use different sets of rules for combining or grouping things in different ways. Knowledge:Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of machines and tools, including their designs, uses, repair, and maintenance. Skills:Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Tech:Microsoft Access Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Interests:Secondary-Cutoff/Rank Descriptiveness Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources."
699,45-2091.00,Agricultural Equipment Operators,"Drive and control equipment to support agricultural activities such as tilling soil; planting, cultivating, and harvesting crops; feeding and herding livestock; or removing animal waste. May perform tasks such as crop baling or hay bucking. May operate stationary equipment to perform post-harvest tasks such as husking, shelling, threshing, and ginning.","Abilities:The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions. The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion. The ability to see details at close range (within a few feet of the observer).","Knowledge:Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of machines and tools, including their designs, uses, repair, and maintenance. Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.","Skills:Controlling operations of equipment or systems. Watching gauges, dials, or other indicators to make sure a machine is working properly. Determining causes of operating errors and deciding what to do about it.",,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.","Agricultural Equipment Operators Drive and control equipment to support agricultural activities such as tilling soil; planting, cultivating, and harvesting crops; feeding and herding livestock; or removing animal waste. May perform tasks such as crop baling or hay bucking. May operate stationary equipment to perform post-harvest tasks such as husking, shelling, threshing, and ginning. Abilities:The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions. The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion. The ability to see details at close range (within a few feet of the observer). Knowledge:Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of machines and tools, including their designs, uses, repair, and maintenance. Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions. Skills:Controlling operations of equipment or systems. Watching gauges, dials, or other indicators to make sure a machine is working properly. Determining causes of operating errors and deciding what to do about it.  Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service."
700,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.","Abilities:The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without ""giving out"" or fatiguing. The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position. The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.","Knowledge:Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques. Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment. Knowledge of machines and tools, including their designs, uses, repair, and maintenance.","Skills:Talking to others to convey information effectively. Watching gauges, dials, or other indicators to make sure a machine is working properly. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Secondary-Cutoff/Rank Descriptiveness Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Farmworkers and Laborers, Crop, Nursery, and Greenhouse Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities. Abilities:The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without ""giving out"" or fatiguing. The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position. The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions. Knowledge:Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques. Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment. Knowledge of machines and tools, including their designs, uses, repair, and maintenance. Skills:Talking to others to convey information effectively. Watching gauges, dials, or other indicators to make sure a machine is working properly. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.  Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Secondary-Cutoff/Rank Descriptiveness Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources."
701,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals","Attend to live farm, ranch, open range or aquacultural animals that may include cattle, sheep, swine, goats, horses and other equines, poultry, rabbits, finfish, shellfish, and bees. Attend to animals produced for animal products, such as meat, fur, skins, feathers, eggs, milk, and honey. Duties may include feeding, watering, herding, grazing, milking, castrating, branding, de-beaking, weighing, catching, and loading animals. May maintain records on animals; examine animals to detect diseases and injuries; assist in birth deliveries; and administer medications, vaccinations, or insecticides as appropriate. May clean and maintain animal housing areas. Includes workers who shear wool from sheep and collect eggs in hatcheries.","Abilities:The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem. The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions. The ability to listen to and understand information and ideas presented through spoken words and sentences.","Knowledge:Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods. Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment. Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.","Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.","Farmworkers, Farm, Ranch, and Aquacultural Animals Attend to live farm, ranch, open range or aquacultural animals that may include cattle, sheep, swine, goats, horses and other equines, poultry, rabbits, finfish, shellfish, and bees. Attend to animals produced for animal products, such as meat, fur, skins, feathers, eggs, milk, and honey. Duties may include feeding, watering, herding, grazing, milking, castrating, branding, de-beaking, weighing, catching, and loading animals. May maintain records on animals; examine animals to detect diseases and injuries; assist in birth deliveries; and administer medications, vaccinations, or insecticides as appropriate. May clean and maintain animal housing areas. Includes workers who shear wool from sheep and collect eggs in hatcheries. Abilities:The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem. The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions. The ability to listen to and understand information and ideas presented through spoken words and sentences. Knowledge:Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods. Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment. Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.  Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service."
702,45-2099.00,"Agricultural Workers, All Other",All agricultural workers not listed separately.,,,,,,"Agricultural Workers, All Other All agricultural workers not listed separately.     "
703,45-3031.00,Fishing and Hunting Workers,"Hunt, trap, catch, or gather wild animals or aquatic animals and plants. May use nets, traps, or other equipment. May haul catch onto ship or other vessel.","Abilities:The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position. The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects. The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion.","Knowledge:Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process. Knowledge of machines and tools, including their designs, uses, repair, and maintenance. Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.","Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Controlling operations of equipment or systems. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Tertiary-Cutoff/Rank Descriptiveness Secondary-Cutoff/Rank Descriptiveness","Fishing and Hunting Workers Hunt, trap, catch, or gather wild animals or aquatic animals and plants. May use nets, traps, or other equipment. May haul catch onto ship or other vessel. Abilities:The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position. The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects. The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion. Knowledge:Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process. Knowledge of machines and tools, including their designs, uses, repair, and maintenance. Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life. Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Controlling operations of equipment or systems. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.  Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Tertiary-Cutoff/Rank Descriptiveness Secondary-Cutoff/Rank Descriptiveness"
704,45-4011.00,Forest and Conservation Workers,"Under supervision, perform manual labor necessary to develop, maintain, or protect areas such as forests, forested areas, woodlands, wetlands, and rangelands through such activities as raising and transporting seedlings; combating insects, pests, and diseases harmful to plant life; and building structures to control water, erosion, and leaching of soil. Includes forester aides, seedling pullers, tree planters, and gatherers of nontimber forestry products such as pine straw.","Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem. The ability to communicate information and ideas in speaking so others will understand.","Knowledge:Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.","Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action. Understanding written sentences and paragraphs in work-related documents.",Tech:Geographic information system GIS systems,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Secondary-Cutoff/Rank Descriptiveness Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Forest and Conservation Workers Under supervision, perform manual labor necessary to develop, maintain, or protect areas such as forests, forested areas, woodlands, wetlands, and rangelands through such activities as raising and transporting seedlings; combating insects, pests, and diseases harmful to plant life; and building structures to control water, erosion, and leaching of soil. Includes forester aides, seedling pullers, tree planters, and gatherers of nontimber forestry products such as pine straw. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem. The ability to communicate information and ideas in speaking so others will understand. Knowledge:Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action. Understanding written sentences and paragraphs in work-related documents. Tech:Geographic information system GIS systems Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Secondary-Cutoff/Rank Descriptiveness Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources."
705,45-4021.00,Fallers,Use axes or chainsaws to fell trees using knowledge of tree characteristics and cutting techniques to control direction of fall and minimize tree damage.,"Abilities:The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears. The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion. The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.","Knowledge:Knowledge of machines and tools, including their designs, uses, repair, and maintenance. Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods. Knowledge of machines and tools, including their designs, uses, repair, and maintenance.","Skills:Controlling operations of equipment or systems. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.",Tech:Geographic information system GIS systems,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Secondary-Cutoff/Rank Descriptiveness Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Fallers Use axes or chainsaws to fell trees using knowledge of tree characteristics and cutting techniques to control direction of fall and minimize tree damage. Abilities:The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears. The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion. The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions. Knowledge:Knowledge of machines and tools, including their designs, uses, repair, and maintenance. Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods. Knowledge of machines and tools, including their designs, uses, repair, and maintenance. Skills:Controlling operations of equipment or systems. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action. Tech:Geographic information system GIS systems Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Secondary-Cutoff/Rank Descriptiveness Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources."
